genus_species,genus,species,subspecies,phylum,class,order,family,group,lifespan,source,notes,larval_realm
Storeria dekayi,Storeria,dekayi,wrightorum,Chordata,Reptilia,Squamata,Colubridae,Reptilia,2555,AnAge,,terrestrial
Dictya expansa,Dictya,expansa,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,105,"McLaughlin & Dame, 1989","genus, generation time",
Dictya pictipes,Dictya,pictipes,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,105,"McLaughlin & Dame, 1990","genus, generation time",
Dictya sabroskyi,Dictya,sabroskyi,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,105,"McLaughlin & Dame, 1991","genus, generation time",
Dictya spp.,Dictya,spp.,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,NA,NA,not classified to species level,
Ditaeniella parallela,Ditaeniella,parallela,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,,,,
Ditaeniella trivitatta,Ditaeniella,trivitatta,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,,,,
Limnia boscii,Limnia,boscii,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,unk,,,
Pherbellia nana,Pherbellia,nana,nana,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,40,"Coupland & Baker, 1995","genus, generation time",
Pherbellia seticoxa,Pherbellia,seticoxa,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,40,"Coupland & Baker, 1995","genus, generation time",
Sepedon armipes,Sepedon,armipes,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,182.5,"Berg et al., 1982","estimate - aquatic larvae, adults overwinter, produce next generation and die in May, must overwinter as adult for successful reproduction",aquatic
Sepedon fuscipennis,Sepedon,fuscipennis,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,199,"Barnes, 1976",,
Tetanocera loewi,Tetanocera,loewi,,Arthropoda,Insecta,Diptera,Sciomyzidae,Stoneflies,115,"Hynes et al., 2014",,
Danaus plexippus,Danaus,plexippus,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,270,"Messan et al., 2011",,terrestrial
Epargyreus clarus,Epargyreus,clarus,,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Butterflies,166,"Stokes et al., 1991;Hamon, 2016",overwinter as pupae,terrestrial
Limenitis archippus,Limenitis,archippus,,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,155,"Stokes et al., 1991;Hamon, 2016",overwinter as larvae,terrestrial
Limenitis arthemis,Limenitis,arthemis,astyanax,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Butterflies,155,"Stokes et al., 1991;Hamon, 2016",overwinter as larvae,terrestrial
Celastrina argiolus,Celastrina,argiolus,,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Butterflies,139,"Stokes et al., 1991;Bos, 2006",overwinters as pupa,terrestrial
Celastrina neglecta,Celastrina,neglecta,,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Butterflies,unk,,,terrestrial
Cupido comyntas comyntas,Cupido,comyntas comyntas,,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Butterflies,unk,,,terrestrial
Lycaena hyllus,Lycaena,hyllus,,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Butterflies,unk,,,terrestrial
