gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2557491934,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:714837,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31021,-126.06477,100,,,,861,0,2009-07-14T00:00:00,14,7,2009,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.670Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557491605,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:705289,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.30996,-126.06175,100,,,,817,0,2009-08-05T00:00:00,5,8,2009,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.700Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557489267,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:681072,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31008,-126.06016,100,,,,848,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:16.845Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557489254,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:680947,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31012,-126.06083,100,,,,825,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.639Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557487155,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:706917,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31075,-126.06537,100,,,,857,0,2006-08-16T00:00:00,16,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.629Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557481260,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:681312,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31034,-126.06044,100,,,,836,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:16.680Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557481212,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:680836,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31018,-126.06158,100,,,,803,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:16.678Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557481211,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:680827,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.30998,-126.06032,100,,,,847,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.466Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557480159,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:680233,Animalia,Porifera,Hexactinellida,,,,,,CLASS,Hexactinellida,Hexactinellida,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.30869,-126.06169,100,,,,898,0,2009-08-05T00:00:00,5,8,2009,146,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.475Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557308805,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:724484,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Staurocalyptus,,,GENUS,Staurocalyptus Ijima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557303652,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:712384,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31066,-126.06494,100,,,,871,0,2006-08-16T00:00:00,16,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:10.110Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
