"date","temp_value"
1569072,4.40938720703127
1569075,0.691552734375023
1569078,1.32183227539065
1569081,0.730859375000023
1569084,0.715692138671898
1569087,0.417626953125023
1569090,0.678582763671898
1569093,0.0362182617187727
1569096,-2.11655273437498
1569099,-5.10709228515623
1569102,-6.34125366210935
1569105,-8.50119628906248
1569108,-10.8277648925781
1569111,-12.4160522460937
1569114,-12.33505859375
1569117,-16.8562377929687
1569120,-18.7254699707031
1569123,-19.7226318359375
1569126,-19.7815460205078
1569129,-19.5401824951172
1569132,-20.3996795654297
1569135,-16.0856689453125
1569138,-12.3310913085937
1569141,-12.4180358886719
1569144,-13.9170288085937
1569147,-13.3063110351562
1569150,-14.6571105957031
1569153,-16.7774719238281
1569156,-17.3523010253906
1569159,-12.531103515625
1569162,-11.1289733886719
1569165,-12.692724609375
1569168,-15.5053466796875
1569171,-13.9094604492187
1569174,-14.3861450195312
1569177,-13.7938903808594
1569180,-14.1019958496094
1569183,-10.2673706054687
1569186,-6.76151123046873
1569189,-7.36844482421873
1569192,-10.6835083007812
1569195,-11.0006774902344
1569198,-12.8024047851562
1569201,-15.2871459960937
1569204,-19.1836608886719
1569207,-9.99680175781248
1569210,-6.46140136718748
1569213,-7.15622558593748
1569216,-12.2936157226562
1569219,-11.9120849609375
1569222,-9.7669738769531
1569225,-8.53616943359373
1569228,-9.23688354492185
1569231,-7.47543945312498
1569234,-7.01663818359373
1569237,-7.6881164550781
1569240,-8.91715087890623
1569243,-10.1364196777344
1569246,-11.0329650878906
1569249,-12.68955078125
1569252,-14.5550598144531
1569255,-14.9440368652344
1569258,-12.3476318359375
1569261,-14.23837890625
1569264,-17.5016235351562
1569267,-23.8474945068359
1569270,-23.4446166992187
1569273,-20.3088134765625
1569276,-20.0632080078125
1569279,-15.0050109863281
1569282,-10.7287353515625
1569285,-11.540625
1569288,-19.4621032714844
1569291,-22.224951171875
1569294,-25.427099609375
1569297,-25.8109649658203
1569300,-25.2290100097656
1569303,-14.0741027832031
1569306,-11.3587707519531
1569309,-13.8385986328125
1569312,-18.6231292724609
1569315,-16.5854248046875
1569318,-20.442739868164
1569321,-26.3746398925781
1569324,-30.2327484130859
1569327,-18.1948608398437
1569330,-11.0913757324219
1569333,-12.4931701660156
1569336,-20.025244140625
1569339,-14.1194213867187
1569342,-13.1921142578125
1569345,-12.0015319824219
1569348,-11.6506713867187
1569351,-7.7769836425781
1569354,-3.40006103515623
1569357,-2.8706115722656
1569360,-4.98428955078123
1569363,-4.68991699218748
1569366,-5.0804504394531
1569369,-4.41019287109373
1569372,-4.06354370117185
1569375,-0.142248535156227
1569378,-0.116369628906227
1569381,-0.0170349121093523
1569384,-0.0213989257812273
1569387,-0.164587402343727
1569390,-0.236059570312477
1569393,-1.6146301269531
1569396,-5.29202880859373
1569399,-7.1026672363281
